window,event,method,n,delegation_active,window_ms,sensor_aes_ms,enclave_aes_to_paillier_ms,paillier_accum_ms,delegation_ms,kmm_combine_ms,storage_prep_ms,cloud_upload_ms,storage_bytes_per_window,privacy_note,total_ms,within_500ms,conclusion
1,Normal,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
1,Normal,fog_plaintext,100,False,500.0,10.614800034090877,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,20.614800034090877,True,within_500ms_window
1,Normal,paillier_nobatch,100,False,500.0,0.2893999917432666,6895.815800060518,72.17019994277507,0.0,0.0,17.59409997612238,10.0,51200,Paillier privacy but no slot aggregation storage benefit,6995.869499971159,False,violates_500ms_window
1,Normal,ours,100,False,500.0,0.32350001856684685,7260.667199268937,4.304500762373209,0.0,152.73239999078214,49.22909999731928,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,7477.256700037979,False,violates_500ms_window
2,Normal,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
2,Normal,fog_plaintext,100,False,500.0,1.6269999323412776,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.626999932341278,True,within_500ms_window
2,Normal,paillier_nobatch,100,False,500.0,1.103400019928813,8543.280799989589,75.28989994898438,0.0,0.0,20.06390003953129,10.0,51200,Paillier privacy but no slot aggregation storage benefit,8649.737999998033,False,violates_500ms_window
2,Normal,ours,100,False,500.0,0.3619999624788761,7146.823200280778,4.375599906779826,0.0,67.53820006269962,20.66369995009154,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,7249.762700162828,False,violates_500ms_window
3,Normal,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
3,Normal,fog_plaintext,100,False,500.0,0.4566999850794673,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.456699985079467,True,within_500ms_window
3,Normal,paillier_nobatch,100,False,500.0,0.2734999870881438,7185.475799953565,72.62520003132522,0.0,0.0,17.69469992723316,10.0,51200,Paillier privacy but no slot aggregation storage benefit,7286.0691998992115,False,violates_500ms_window
3,Normal,ours,100,False,500.0,0.3303999546915293,6775.021899025887,4.103800747543573,0.0,68.25809995643795,18.86670000385493,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,6876.580899688415,False,violates_500ms_window
4,Normal,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
4,Normal,fog_plaintext,100,False,500.0,0.7913999725133181,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.791399972513318,True,within_500ms_window
4,Normal,paillier_nobatch,100,False,500.0,0.4050999414175749,7162.601400050335,76.1861999053508,0.0,0.0,21.577500039711595,10.0,51200,Paillier privacy but no slot aggregation storage benefit,7270.770199936815,False,violates_500ms_window
4,Normal,ours,100,False,500.0,0.7954000029712915,7231.531299999915,4.601499997079372,0.0,65.73230004869401,18.353199935518205,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,7331.013699984178,False,violates_500ms_window
5,Normal,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
5,Normal,fog_plaintext,100,False,500.0,0.4510000580921769,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.451000058092177,True,within_500ms_window
5,Normal,paillier_nobatch,100,False,500.0,0.23560004774481058,6865.408099954948,93.8987999688834,0.0,0.0,20.854100002907217,10.0,51200,Paillier privacy but no slot aggregation storage benefit,6990.396599974483,False,violates_500ms_window
5,Normal,ours,100,False,500.0,0.36479998379945755,7124.07629925292,4.449701402336359,0.0,69.65179997496307,18.675400060601532,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,7227.21800067462,False,violates_500ms_window
6,F2 overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
6,F2 overload,fog_plaintext,100,True,500.0,0.48370007425546646,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.483700074255466,True,within_500ms_window
6,F2 overload,paillier_nobatch,100,True,500.0,0.24079997092485428,6817.9295000154525,68.96299996878952,0.0,0.0,18.18489993456751,10.0,51200,Paillier privacy but no slot aggregation storage benefit,6915.318199889734,False,violates_500ms_window
6,F2 overload,ours,100,True,500.0,0.2929999027401209,9189.093899913132,764.7752000484616,50.0,97.49050007667392,25.077400030568242,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,10136.729999971576,False,violates_500ms_window
7,F2 overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
7,F2 overload,fog_plaintext,100,True,500.0,1.4259000308811665,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.425900030881166,True,within_500ms_window
7,F2 overload,paillier_nobatch,100,True,500.0,0.36780000664293766,9534.419500036165,81.08860009815544,0.0,0.0,23.589199990965426,10.0,51200,Paillier privacy but no slot aggregation storage benefit,9649.465100131929,False,violates_500ms_window
7,F2 overload,ours,100,True,500.0,0.3226000117138028,10021.875498699956,1012.3235003557056,50.0,150.9574999799952,40.20030004903674,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,11285.679399096407,False,violates_500ms_window
8,F2 overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
8,F2 overload,fog_plaintext,100,True,500.0,1.8829000182449818,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.882900018244982,True,within_500ms_window
8,F2 overload,paillier_nobatch,100,True,500.0,0.7115999469533563,15494.528400013223,162.39630000200123,0.0,0.0,37.672000005841255,10.0,51200,Paillier privacy but no slot aggregation storage benefit,15705.30829996802,False,violates_500ms_window
8,F2 overload,ours,100,True,500.0,0.8963000727817416,16119.464999181218,1516.4168005576357,50.0,126.20719999540597,41.39609995763749,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,17864.38139976468,False,violates_500ms_window
9,F2 overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
9,F2 overload,fog_plaintext,100,True,500.0,1.4961999841034412,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.496199984103441,True,within_500ms_window
9,F2 overload,paillier_nobatch,100,True,500.0,1.26069993712008,16345.311400014907,182.72899999283254,0.0,0.0,45.88979994878173,10.0,51200,Paillier privacy but no slot aggregation storage benefit,16585.19089989364,False,violates_500ms_window
9,F2 overload,ours,100,True,500.0,0.7374999113380909,15711.895700427704,1696.6936002718285,50.0,177.93889995664358,45.137800043448806,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,17692.403500610963,False,violates_500ms_window
10,F2 overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
10,F2 overload,fog_plaintext,100,True,500.0,1.9375999690964818,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.937599969096482,True,within_500ms_window
10,F2 overload,paillier_nobatch,100,True,500.0,0.7243999280035496,15893.031900050119,184.39910002052784,0.0,0.0,75.91819996014237,10.0,51200,Paillier privacy but no slot aggregation storage benefit,16164.073599958792,False,violates_500ms_window
10,F2 overload,ours,100,True,500.0,0.7540000369772315,16188.72880039271,1596.9429007964209,50.0,168.5113999992609,41.37929994612932,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,18056.316401171498,False,violates_500ms_window
11,F5 fails,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
11,F5 fails,fog_plaintext,100,False,500.0,1.6111999284476042,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.611199928447604,True,within_500ms_window
11,F5 fails,paillier_nobatch,100,False,500.0,1.2647999683395028,16347.749300068244,150.86699998937547,0.0,0.0,39.62369996588677,10.0,51200,Paillier privacy but no slot aggregation storage benefit,16549.504799991846,False,violates_500ms_window
11,F5 fails,ours,100,False,500.0,11.429799953475595,16543.961500748992,9.593199472874403,0.0,160.90310004074126,50.00260006636381,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,16785.890200282447,False,violates_500ms_window
12,Gossip detects F5,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
12,Gossip detects F5,fog_plaintext,100,False,500.0,2.4278999771922827,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,12.427899977192283,True,within_500ms_window
12,Gossip detects F5,paillier_nobatch,100,False,500.0,1.1325000086799264,16544.323300011456,183.0878999317065,0.0,0.0,37.06290002446622,10.0,51200,Paillier privacy but no slot aggregation storage benefit,16775.60659997631,False,violates_500ms_window
12,Gossip detects F5,ours,100,False,500.0,1.3247999595478177,16427.45549941901,8.972700103186071,0.0,125.96740003209561,41.20889992918819,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,16614.92929944303,False,violates_500ms_window
13,Gossip detects F5,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
13,Gossip detects F5,fog_plaintext,100,False,500.0,3.317900118418038,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,13.317900118418038,True,within_500ms_window
13,Gossip detects F5,paillier_nobatch,100,False,500.0,0.9925999911502004,15718.821799964644,210.36460006143898,0.0,0.0,48.37620002217591,10.0,51200,Paillier privacy but no slot aggregation storage benefit,15988.55520003941,False,violates_500ms_window
13,Gossip detects F5,ours,100,False,500.0,1.2567000230774283,15377.853299956769,8.777099894359708,0.0,134.64020006358624,38.0770000629127,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,15570.604300000705,False,violates_500ms_window
14,Recovery,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
14,Recovery,fog_plaintext,100,False,500.0,1.6830000095069408,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.68300000950694,True,within_500ms_window
14,Recovery,paillier_nobatch,100,False,500.0,0.8648999501019716,15763.882600003853,152.08279993385077,0.0,0.0,42.365800007246435,10.0,51200,Paillier privacy but no slot aggregation storage benefit,15969.196099895053,False,violates_500ms_window
14,Recovery,ours,100,False,500.0,0.7004999788478017,13153.607500367798,7.533799856901169,0.0,72.91109999641776,23.3557999599725,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,13268.108700159937,False,violates_500ms_window
15,Recovery,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
15,Recovery,fog_plaintext,100,False,500.0,0.6430000066757202,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.64300000667572,True,within_500ms_window
15,Recovery,paillier_nobatch,100,False,500.0,0.24910003412514925,13989.927500020713,151.7871000105515,0.0,0.0,47.715699998661876,10.0,51200,Paillier privacy but no slot aggregation storage benefit,14199.679400064051,False,violates_500ms_window
15,Recovery,ours,100,False,500.0,0.8911000331863761,15949.59570048377,9.156899293884635,0.0,158.8698000414297,49.9731000745669,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,16178.486599926837,False,violates_500ms_window
16,Recovery,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
16,Recovery,fog_plaintext,100,False,500.0,1.5437999973073602,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.54379999730736,True,within_500ms_window
16,Recovery,paillier_nobatch,100,False,500.0,0.8335999445989728,17357.878900016658,193.86609992943704,0.0,0.0,35.93820007517934,10.0,51200,Paillier privacy but no slot aggregation storage benefit,17598.516799965873,False,violates_500ms_window
16,Recovery,ours,100,False,500.0,1.0457000462338328,15401.35720022954,12.327599455602467,0.0,66.53730000834912,17.88719999603927,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,15509.154999735765,False,violates_500ms_window
17,Recovery,cloud_only,100,False,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
17,Recovery,fog_plaintext,100,False,500.0,0.4931000294163823,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,10.493100029416382,True,within_500ms_window
17,Recovery,paillier_nobatch,100,False,500.0,0.3501999890431762,7334.707499947399,72.90620007552207,0.0,0.0,21.253899903967977,10.0,51200,Paillier privacy but no slot aggregation storage benefit,7439.217799915932,False,violates_500ms_window
17,Recovery,ours,100,False,500.0,0.2530999481678009,10810.13279943727,6.702800514176488,0.0,147.90059998631477,39.432100020349026,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,11014.421399906278,False,violates_500ms_window
18,F2 second overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
18,F2 second overload,fog_plaintext,100,True,500.0,1.9389999797567725,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.938999979756773,True,within_500ms_window
18,F2 second overload,paillier_nobatch,100,True,500.0,1.421299995854497,15099.917800049298,147.78160001151264,0.0,0.0,35.123499925248325,10.0,51200,Paillier privacy but no slot aggregation storage benefit,15294.244199981913,False,violates_500ms_window
18,F2 second overload,ours,100,True,500.0,0.9826000314205885,15034.330000169575,1550.404699635692,50.0,150.96999995876104,47.184100025333464,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,16843.871399820782,False,violates_500ms_window
19,F2 second overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
19,F2 second overload,fog_plaintext,100,True,500.0,2.739500137977302,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,12.739500137977302,True,within_500ms_window
19,F2 second overload,paillier_nobatch,100,True,500.0,1.3469000114127994,14826.718099997379,168.71969995554537,0.0,0.0,38.42270001769066,10.0,51200,Paillier privacy but no slot aggregation storage benefit,15045.207399982028,False,violates_500ms_window
19,F2 second overload,ours,100,True,500.0,0.7013999857008457,14843.119499855675,1468.0806007236242,50.0,128.27340001240373,37.10570000112057,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,16537.280600578524,False,violates_500ms_window
20,F2 second overload,cloud_only,100,True,500.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,800,no fog privacy; raw readings are stored/transmitted,10.0,True,within_500ms_window
20,F2 second overload,fog_plaintext,100,True,500.0,1.7769000260159373,0.0,0.0,0.0,0.0,0.0,10.0,8,fog decrypts readings; insecure baseline with one aggregate,11.776900026015937,True,within_500ms_window
20,F2 second overload,paillier_nobatch,100,True,500.0,1.244200044311583,10180.021800100803,90.87459999136627,0.0,0.0,17.346099950373173,10.0,51200,Paillier privacy but no slot aggregation storage benefit,10299.486700086854,False,violates_500ms_window
20,F2 second overload,ours,100,True,500.0,0.24890003260225058,8957.53270003479,876.9751997897401,50.0,64.38600004184991,22.25840010214597,10.0,44,slot aggregation with simulated TEE and fog-scoped key provisioning,9981.401200001128,False,violates_500ms_window
